blue,green,groupId,received,red,sensorId,time1,time2,white
0.0269626916915,0.0383154039826,0,1478459612302,0.0316014343481,0,33,594,0.0992904554818
0.0480964370184,0.0728465705348,0,1478459612349,0.0641336690318,1,33,596,0.19525444419
0.0339208056764,0.0488288700694,0,1478459612350,0.0484168764782,2,33,598,0.147692072938
0.0163118944076,0.0226138704509,0,1478459612350,0.019195849546,3,33,600,0.0634927901122
0.0454108491646,0.069275959411,0,1478459612350,0.0614633401999,4,33,602,0.187701228351
0.0506141756313,0.0749065384909,0,1478459612350,0.0697032120241,5,33,604,0.207095445182
0.0200961318379,0.0305333028153,0,1478459612350,0.0269016556039,6,33,606,0.0829633020523
0.037369344625,0.0548561837186,0,1478459612351,0.0467383840696,7,33,608,0.137956816968
0.0464332036316,0.0712748912795,0,1478459612351,0.0655527580682,8,33,610,0.195040817884
0.0312657358663,0.0444953078508,0,1478459612351,0.0429236285954,9,33,612,0.129167620356
0.03869687953,0.0473182269017,0,1478459612351,0.0407110704204,10,33,614,0.147188525216
0.0565651941711,0.0859235523003,0,1478459612351,0.0812085145342,11,33,616,0.235599298085
0.0269626916915,0.0383001449607,0,1478459612487,0.0316014343481,0,33,795,0.0992446784161
0.0481116960403,0.0728618295567,0,1478459612552,0.0641489280537,1,33,797,0.195284962234
0.0339360646983,0.0488288700694,0,1478459612552,0.0484321355001,2,33,799,0.147737850004
0.0162966353857,0.022598611429,0,1478459612553,0.019195849546,3,33,800,0.0634622720684
0.0454108491646,0.069275959411,0,1478459612553,0.0614633401999,4,33,802,0.187731746395
0.0506141756313,0.074891279469,0,1478459612553,0.0697032120241,5,33,804,0.207110704204
0.0200961318379,0.0305485618372,0,1478459612553,0.0269016556039,6,33,806,0.0829938200961
0.0373540856031,0.0548561837186,0,1478459612553,0.0467536430915,7,33,808,0.137941557946
0.0464484626535,0.0712748912795,0,1478459612553,0.0655374990463,8,33,811,0.195040817884
0.0312809948882,0.0445105668727,0,1478459612553,0.0429388876173,9,33,812,0.129228656443
0.0384985122454,0.047119859617,0,1478459612553,0.0405889982452,10,33,814,0.146364538033
0.056580453193,0.0858930342565,0,1478459612553,0.0812237735561,11,33,816,0.235599298085
0.0269626916915,0.0383001449607,0,1478459612693,0.0316014343481,0,33,995,0.0992294193942
0.0480964370184,0.0728465705348,0,1478459612757,0.0641336690318,1,33,997,0.19525444419
0.0339208056764,0.0488441290913,0,1478459612757,0.0484168764782,2,33,999,0.14770733196
0.0163118944076,0.022598611429,0,1478459612758,0.019195849546,3,34,1,0.0634622720684
0.0454261081865,0.0692912184329,0,1478459612758,0.0614785992218,4,34,3,0.187747005417
0.0506141756313,0.0749065384909,0,1478459612759,0.0697032120241,5,34,5,0.207110704204
0.0200961318379,0.0305485618372,0,1478459612761,0.0269169146258,6,34,7,0.0829938200961
0.0373846036469,0.0548714427405,0,1478459612762,0.0467689021134,7,34,8,0.13797207599
0.0464484626535,0.0712901503014,0,1478459612762,0.0655680170901,8,34,11,0.195056076905
0.0312962539101,0.0445105668727,0,1478459612762,0.0429541466392,9,34,13,0.129274433509
0.0384985122454,0.0471503776608,0,1478459612762,0.0405889982452,10,34,15,0.146364538033
0.0565957122148,0.0859235523003,0,1478459612762,0.081239032578,11,34,17,0.235629816129
0.0269779507134,0.0383306630045,0,1478459612893,0.03161669337,0,34,195,0.0992904554818
0.0481116960403,0.0728770885786,0,1478459612957,0.0641489280537,1,34,197,0.195284962234
0.0339208056764,0.0488441290913,0,1478459612957,0.0484168764782,2,34,199,0.147692072938
0.0163118944076,0.0226138704509,0,1478459612957,0.0192111085679,3,34,201,0.0634927901122
0.0454261081865,0.0692912184329,0,1478459612957,0.0614785992218,4,34,203,0.187762264439
0.0506141756313,0.074891279469,0,1478459612958,0.0696879530022,5,34,205,0.207110704204
0.0200961318379,0.0305333028153,0,1478459612958,0.0269016556039,6,34,207,0.0829785610742
0.037369344625,0.0548561837186,0,1478459612958,0.0467383840696,7,34,209,0.137956816968
0.0464484626535,0.0713054093233,0,1478459612958,0.0655680170901,8,34,211,0.195071335927
0.0312809948882,0.0444953078508,0,1478459612958,0.0429083695735,9,34,213,0.129213397421
0.0386511024643,0.0472877088579,0,1478459612958,0.0406958113985,10,34,215,0.146944380865
0.0565957122148,0.0859235523003,0,1478459612959,0.0812237735561,11,34,217,0.235660334173
0.0269779507134,0.0383154039826,0,1478459613093,0.03161669337,0,34,396,0.0992751964599
0.0481269550622,0.0728770885786,0,1478459613157,0.0641489280537,1,34,398,0.195315480278
0.0339208056764,0.0488441290913,0,1478459613157,0.0484168764782,2,34,400,0.147737850004
0.0163118944076,0.0226138704509,0,1478459613157,0.0192111085679,3,34,402,0.0635080491341
0.0454261081865,0.0692912184329,0,1478459613157,0.0614633401999,4,34,404,0.187747005417
0.0506294346532,0.0749065384909,0,1478459613157,0.0696879530022,5,34,406,0.20715648127
0.0200961318379,0.0305485618372,0,1478459613158,0.0269169146258,6,34,407,0.083009079118
0.037369344625,0.0548561837186,0,1478459613158,0.0467383840696,7,34,409,0.137956816968
0.0464332036316,0.0712901503014,0,1478459613158,0.0655680170901,8,34,412,0.195056076905
0.0312809948882,0.0444953078508,0,1478459613158,0.0429236285954,9,34,414,0.129198138399
0.0387731746395,0.0473792629892,0,1478459613158,0.0407568474861,10,34,416,0.147371633478
0.056580453193,0.0859082932784,0,1478459613159,0.0812237735561,11,34,418,0.235660334173
0.0269779507134,0.0383154039826,0,1478459613293,0.0316014343481,0,34,596,0.099259937438
